ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
3508,"Outlaw Josey Wales, The",Western&Action&Adventure,1976,Clint Eastwood,Granville Van Dusen,Sondra Locke,Chief Dan George[,,,,
3509,Black and White,Drama&Romance,1999,Mike Binder,Robert Downey Jr,Ewan McGregor,Greta Scacchi[,,,,
3510,Frequency,Science Fiction&Thriller&Drama,2000,Jim Sheridan,Dennis Quaid,Jim Caviezel,Noah Wyle[,,,,
3511,Ready to Rumble,Comedy&Sport,2000,Brett Ratner,Blake Clark,David Arquette,Oliver Platt[,,,,
3512,Return to Me,Comedy&Drama&Romance,2000,Bonnie Hunt,David Duchovny,Minni Driver,Timothy Olyphant[,,,,
3513,Rules of Engagement,Comedy&Drama&Romance,2000,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Jim Gaffigan,,,,
3514,"Joe Gould""s Secret",Drama&Biography,2000,Stephen Koehler,Ian Holm,Susan Sarandon,Jim Broadbent[,,,,
3515,Me Myself I,Comedy&Drama,2000,Peter Chelsom,Jim Carrey,Kate Bekinsale,Ewan McGregor[,,,,
3516,"Bell, Book and Candle",Romance&Comedy&Fantasy,1958,Richard Quine,James Stewart,Kim Novak,Jack Lemmon[,,,,
3517,The Bells,Drama&Silent Film,1926,James Young,George O'Brien,Madge Bellamy,Bert Sprotte[,,,,
3518,The End of Violence,Crime&Drama,1997,Andy and Larry Wachowski,Traci Lords,Ross McCall,Jerry Orbach[,,,,
3519,Force 10 from Navarone,Action&Adventure&War,1978,Gary Nelson,Robert Shaw,Harrison Ford,Ed Harris[,,,,
3520,How to Stuff a Wild Bikini,Comedy&Romance,1965,Andy Sidaris,Frankie Avalon,Annette Funicello,Dwayne Hickman[,,,,
3521,Mystery Train,Drama&Mystery&Romance,1989,Jim Jarmusch,John Lurie,Masato Harada,Youki Kudoh[,,,,
3522,Sacco and Vanzetti,Drama&History,1971,Stuart Rosenberg,Sal Mineo,James Mason,Ryan O'Neal[,,,,
3523,Taffin,Action&Adventure&Drama,1988,John Hough,Charles Dance,Nick Nolte,Bridget Fonda[,,,,
3524,Arthur,Comedy&Drama,1981,Bryan Forbes,Dudley Moore,Liza Minnelli,John Gielgud[,,,,
3525,Bachelor Party,Comedy&Romance,1984,Neal Israel,Tom Hanks,Adrian Zmed,Pamela Stephenson[,,,,
3526,Parenthood,Drama&Family,1989,Ron Howard,Steve Martin,Mary Steenburgen,Kevin Costner,,,,
3527,Predator,Action&Adventure&Horror,1987,John McTiernan,Arnold Schwarzenegger,Bill Duke,Jesse Ventura,,,,
3528,The Prince of Tides,Drama&Romance,1991,Barbra Streisand,Nick Nolte,Blythe Danner,Josh Brolin,,,,
3529,The Postman Always Rings Twice,Drama&Romance,1981,Bob Rafelson,Jack Nicholson,Jessica Lange,John Colicos[,,,,
3530,Smoking/No Smoking,Drama&Romance,1993,Anand Gandhi,Ayub Khan-Din,Nethra Raghuraman,Seema Biswas[,,,,
3531,All the Vermeers in New York,Drama&Romance,1990,Joe Dante,Bill Murray,Mia Farrow,Christopher Walken[,,,,
3532,Freedom for Us (À nous la liberté ),Drama&History,1931,Raymond Bernard,Pierre Blanchar,Jenny Hélia,Jacques Catelain[,,,,
3533,"Actor's Revenge, An (Yukinojo Henge)",Drama&Mystery&Thriller,1963,Sadakichi Hartmann,Toshirô Mifune,Yôko Tsukasa[,,,,,
3534,28 Days,Comedy&Drama&Romance,2000,Betty Thomas,Sandra Bullock,Viggo Mortensen,Diane Fratantoni[,,,,
3535,American Psycho,Horror&Mystery&Thriller,2000,Mary Harron,Christian Bale,Willem Dafoe,Jared Leto[,,,,
3536,Keeping the Faith,Comedy&Drama&Romance,2000,Edward Norton,Ben Stiller,Jenna Elfman,Blythe Danner[,,,,
3537,Where the Money Is,Comedy&Crime&Drama,2000,Paul Weiland,Paul Newman,Gene Hackman,Susan Sarandon[,,,,
3538,East is East,Comedy&Drama,1999,Damien O'Donnell,Jimmy Navarette,Archie Panjabi,Om Puri,,,,
3539,The Filth and the Fury,Documentary,2000,Julien Temple,null,null,null,,,,
3540,Passion of Mind,Drama&Mystery&Romance,1999,Alain Berliner,Jennifer Raab,Nastassja Kinski,Mario Van Peebles[,,,,
3541,Third World Cop,Action&Comedy&Crime,1999,Bruce Beresford,Arnold Schwarzenegger,James Caan,Lela Rochon[,,,,
3542,Coming Apart,Drama,1969,Milton Moses Ginsberg,Zohra Lampert,Bruce Davison,Susan Anspach[,,,,
3543,Diner,Drama&Romance&Coming-of-age,1982,Barry Levinson,Kevin Bacon,Paul Reiser,Ellen Barkin[,,,,
3544,Shakes the Clown,Comedy&Drama,1991,Bobcat Goldthwait,Bobcat Goldthwait,Julie Brown,Gerry Bamman[,,,,
3545,Cabaret,Drama&Musical&Romance,1972,Bob Fosse,Liza Minnelli,Michael York,Joel Grey[,,,,
3546,What Ever Happened to Baby Jane?,Drama&Horror&Mystery&Thriller,1962,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono[,,,,
3547,Prick Up Your Ears,Biography&Drama,1987,Stephen Frears,Gary Oldman,Alan Bates,Leslie Phillips,,,,
3548,Auntie Mame,Comedy&Drama,1958, Morton DaCosta,Rosalind Russell,Forrest Tucker,Corinne Caliefert[,,,,
3549,Guys and Dolls,Musical&Comedy&Romance,1955,Joseph L. Mankiewicz,Marlon Brando,Frank Sinatra,Jean Simmons[,,,,
3550,Hunger,Drama,1983,Steve McQueen,Michael Fassbender,Liisi Laanet,Pál MD. Sándor[,,,,
3551,Marathon Man,Action&Drama&Thriller,1976,John Schlesinger,Dustin Hoffman,Roy Scheider,William Devane[,,,,
3552,Caddyshack,Comedy&Sport,1980,Bill Murray,Chevy Chase,Rodney Dangerfield,Bill Paxton[,,,,
3553,Gossip,Drama&Romance,2000,Ron Howard,Cate Blanchett,Jude Law,Kate Hudson[,,,,
3554,Love and Basketball,Drama&Romance,2000,Gina Prince-Bythewood,Omar Epps,Sanaa Lathan,Dennis Haysbert[,,,,
3555,U-571,Action&Adventure&Drama,2000,Jonathan Mostow,Bill Paxton,Kurt Russell,Dougray Scott[,,,,
3556,The Virgin Suicides,Drama&Romance,1999,Jeffreysbaker,Kirsten Dunst,Josh Hartnett,Scott McKinlay[,,,,
3557,Jennifer 8,Crime&Drama,1992,Randa Haines,Justin Henry,Jennifer Connelly,Helen Hunt[,,,,
3558,The Law,Crime&Drama,1958,Raoul Walsh,Gregory Peck,Anthony Quinn,Maria Schell[,,,,
3559,Limelight,Drama&Musical,1952,Charles Chaplin,Claire Bloom,Sydney Chaplin,Nigel Bruce[,,,,
3560,Phantom Love (Ai No Borei),Drama&Romance,1978,Kazuo Ikehiro,Ken Takakura,Kiyoshi Atsumi,Yoshiko Mita[,,,,
3561,Stacy's Knights,Comedy&Drama&Romance,1982,Jim Sharman,Sarah Jessica Parker,Robert Downey Jr,Patrick Dempsey[,,,,
3562,Committed,Comedy&Drama&Romance,2000,Stuart Sender,Tom Cavanagh,Eliza Dushku,Kathryn Harrold,,,,
3563,The Crow: Salvation,Action&Drama&Horror&Thriller,2000,Bharat Nalluri,Kidada Jones,Bruce Willis,Mickey Rourke[,,,,
3564,"Flintstones in Viva Rock Vegas, The",Comedy&Family&Musical&Romance,2000,Bryan Spicer,John Goodman,Rick Moranis,Rosario Dawson,Steve Sandpal[,,,
3565,Where the Heart Is,Drama&Romance,2000,Norman Jewison,Nicole Kidman,Sandra Bullock,Mischa Barton[,,,,
3566,"Big Kahuna, The",Drama&Mystery,2000,Kevin Reynolds,Adam Beach,Jonathan Jackson,Lawrence Fishburne[,,,,
3567,Bossa Nova,Drama&Music&Romance,1999,Walter Salles,Anthony LaPaga,Breno Mello,Malgoscha Sebizadeh[,,,,
3568,Smiling Fish and Goat on Fire,Animation&Comedy,1999,null,null,null,,,,,
3569,"Idiots, The (Idioterne)",Drama&Experimental,1998,Lars von Trier,Mikael Persbrandt,Stellan Skarsgård,Björk[,,,,
3570,"Last September, The",Drama&Romance,1999,Jane Campion,Michael Keaton,Glenn Close,Kim Basinger[,,,,
3571,Time Code,Drama&Experimental,2000,Mike Figgis,Salma Hayek,Stellan Skarsgård,Julian Sands[,,,,
3572,Carnosaur,Horror&Science Fiction,1993,Simon Donald,Dolph Lundgren,Brian J. Adams,Gina Gershon[,,,,
3573,Carnosaur 2,Horror&Science Fiction&Thriller,1995,Roger Christian,Dennis Hopper,Nicolas Cage,Crispin Glover[,,,,
3574,Carnosaur 3: Primal Species,Horror&Science Fiction&Thriller,1996,Roger Gnoery,Nicolas Cage,Angela Bassett,J.E. Freeman[,,,,
3575,Defying Gravity,Drama&Musical,1997,James Lapine,Ron Howard,John Hannah,Mandy Moore[,,,,
3576,"Hidden, The",Thriller&Mystery&Suspense,1987,Joe Dante,Kyle MacLachlan,Claire Danes,Kathryn Harrold[,,,,
3577,Two Moon Junction,Drama&Romance,1988,Betty Thomas,Sherilyn Fenn,Richard T. Jones,Zachary Throne[,,,,
3578,Gladiator,Action&Adventure&Drama,2000,Ridley Scott,Russell Crowe,Joaquin Phoenix,Oliver Reed[,,,,
3579,I Dreamed of Africa,Drama&Romance,2000,Hugh Hudson,Kim Basinger,Vincent Perez,Lena Olin[,,,,
3580,Up at the Villa,Drama&Mystery&Romance,2000,Anthony Minghella,Kristin Scott Thomas,Sean Penn,Jennifer Ehle[,,,,
3581,Human Traffic,Drama&Comedy&Musical,1999,Steven Mackintosh,John Simm,Nathalie Buscombe,Tony Pitts[,,,,
3582,"Jails, Hospitals & Hip-Hop",Documentary,2000,null,null,null,,,,,
3583,Black Tights,Drama&Romance,1960,Jacqueline Audry,Pascale Petitjean,François Guérin,André Jocelyde[,,,,
3584,Breathless,Drama&Romance,1983,Jim Sharman,Richard Gere,Patricia Arquette,Erik Estrada[,,,,
3585,The Great Locomotive Chase,Action&Adventure&War,1956,Frank Capra,Gary Cooper,Cary Grant,Dorothy Malone[,,,,
3586,The Idolmaker,Drama&Musical,1980,Taylor Hackford,Ray Sharkey,Peter Gallagher,Elaine Miles[,,,,
3587,Inferno,Horror&Mystery&Thriller,1980,Dario Argento,Irene Miracle,Leigh McCloskey,Daria Nicolodi[,,,,
3588,The King of Marvin Gardens,Drama&Thriller,1972,Bob Rafelson,Jack Nicholson,Bruce Dern,Sarah Miles[,,,,
3589,"Kill, Baby... Kill! (Operazione Paura)",Horror&Thriller,1966,Mario Bava,Emilio Petacci,Lisa Marie,Michèle Mercier[,,,,
3590,The Lords of Flatbush,Drama&Romance&Action&Adventure,1974,Martin Davidson,Henry Winkler,Hillary Brooke,Hector Elizondo[,,,,
3591,Mr. Mom,Comedy&Drama,1983,John Hughes,Michael Keaton,Teri Garr,Jeffrey Tambor[,,,,
3592,Time Masters (Les Maîtres du Temps),Science Fiction&Adventure&Family,1982,René Laloux, null , null , null[,,,,
3593,Battlefield Earth,Science Fiction&Adventure&Action,2000,Roger Christian,John Travolta,Kelly Preston,Forest Whitaker[,,,,
3594,Center Stage,Drama&Music&Romance,2000,Nicholas Hytner,Amanda Schull,Zoe Saldana,Susan May Pratt[,,,,
3595,Held Up,Comedy&Crime,2000,Steve Pink,Kenneth Branagh,Robin Williams,Alicia Silverstone[,,,,
3596,Screwed,Comedy,2000,Scott Alexander,Letoya Luckett,Ice Cube[,,,,,
3597,Whipped,Comedy,2000,Peter M. Cohen,Jennifer Love Hewitt,Seth Green,Bernie Mac[,,,,
3598,Hamlet,Drama&Thriller,2000,Michael Almereyda,Ethan Hawke,Kyle MacLachlan,Julia Stiles[,,,,
3599,Anchors Aweigh,Musical&Comedy,1945,George Sidney,Frank Sinatra,Gene Kelly,Kathryn Grayson[,,,,
3600,Blue Hawaii,Musical&Romance,1961,Hal Kanter,Elvis Presley,Joan Blackman,Angela Lansbury[,,,,
3601,"Castaway Cowboy, The",Western&Adventure&Comedy,1974,Rupert Hitzig,Jeff Bridges,Barry Brown,Andy Griffith[,,,,
3602,G. I. Blues,Musical&Romance,1960,Norman Taurog,Elvis Presley,Juliet Prowse,Robert Ivers[,,,,
3603,The Gay Deceivers,Drama&Romance,1969,Rudy De Luca,Rod Taylor,Tony Curtis,Barbara Eden[,,,,
3604,Gypsy,Drama&Musical&Biography,1962,Mervyn LeRoy,Natalie Wood,Rosalind Russell,Pat Hingle[,,,,
3605,King Creole,Drama&Musical,1958,Michael Curtiz,Elvis Presley,Walter Matthau,Dolores Hart[,,,,
3606,On the Town,Musical&Comedy&Romance,1949,Gene Kelly,Frank Sinatra,Jules Munshin,Ann Miller[,,,,
3607,One Little Indian,Drama&Mystery&Thriller,1973,Bengt Lagerkvist,Gunnar Björnstrand,Harriet Andersson,Lars Ekborg[,,,,
3608,"Pee-wee""s Big Adventure",Comedy&Adventure&Family,1985,Tim Burton,Paul Reubens,Susan Sarandon,Jeffrey Jones[,,,,
3609,Regret to Inform,Drama&War,1998,Stuart Orme,Guy Pearce,Lisa Eichhorn,Tomas Arana,,,,
3610,Roustabout,Musical&Romance,1964,John Rich,Elvis Presley,Dolores Hart,Viveca Lindfors,,,,
3611,Saludos Amigos,Animation&Comedy&Musical&Adventure,1943,Jose Carioca&Django,Pinto Colvig,Jiminy Cricket[,,,,,
3612,The Slipper and the Rose,Animation&Family&Fantasy&Musical,1976,Rudyard Kipling,null,null,null[,,,,
3613,Things Change,Drama&Romance,1988,David Drury,Don Johnson,Mia Farrow,Judith Ivey[,,,,
3614,Honeymoon in Vegas,Comedy&Romance,1992,Garry Marshall,Nicolas Cage,Sarah Jessica Parker,Miley Cyrus[,,,,
3615,Dinosaur,Animation&Adventure&Family,2000,Ralph Zondag,Leonard Nimoy,D.B. Sweeney,Julianna Margulies[,,,,
3616,Loser,Comedy&Drama,2000,Pietro Scalia,Jason Biggs,Mena Suvari,Gary Oldman[,,,,
3617,Road Trip,Comedy&Adventure&Romance,2000,Todd Phillips,Jake Gyllenhaal,Anna Faris,Rachel McAdams[,,,,
3618,Small Time Crooks,Comedy&Crime,2000,Joel Coen&Ethan Coen,Woody Allen,Tracey Ullman,Michael Rapaport[,,,,
3619,The Hollywood Knights,Comedy&Musical,1980,Robert Clouse,Tony Danza,Michelle Pfeiffer,GLee Phillippe[,,,,
3620,The Myth of Fingerprints,Drama&Mystery,1997,Paul Schrader,Jamie Harris,Aidan Gillen,Elisabeth McGovern[,,,,
3621,Possession,Drama&Mystery&Romance,1981,Andrzej Żuławski,Isabelle Adjani,Sam Neill,Heinz Bennent[,,,,
3622,"Twelve Chairs, The",Comedy&Crime&Mystery,1970,Mel Brooks,Ron Moody,Frank Langella,Dom DeLuise[,,,,
3623,Mission: Impossible 2,Action&Adventure&Thriller,2000,John Woo,Tom Cruise,Dougray Scott,Thandie Newton[,,,,
3624,Shanghai Noon,Action&Adventure&Comedy&Western,2000,Tom Dey,Chow Yun-fat,Jackie Chan,Owen Wilson[,,,,
3625,Better Living Through Circuitry,Comedy&Romance&Science Fiction,1999,Jonathan Frakes,Linda Hamilton,James Belushi,Liz Phang[,,,,
3626,8 1/2 Women,Drama&Comedy&Romance,1999,Peter Greenaway,Wesley Snipes,Natacha McElhone,Desiree Davarnon[,,,,
3627,Carnival of Souls,Horror&Drama,1962,Herk Harvey,Candace Hilligoss,Sidney Berger,Frank Holliday[,,,,
3628,Flying Tigers,Action&Adventure&War,1942,David Miller,John Wayne,Robert Taylor,Paulette Goddard,,,,
3629,The Gold Rush,Adventure&Comedy&Drama,1925,Charles Chaplin,Charles Chaplin, Mack Swain,Tom Murray[,,,,
3630,La Casa dell'esorcismo,Horror&Thriller,1974,Luigi Di Leonardo,Alexandra Bastedo,Giacomo Furio,Lidia Biondi[,,,,
3631,"It""s in the Water",Comedy&Horror&Science Fiction,1998,Steve Miner,Jonathan Jackson,Kathy Najimy,Patrick Renna[,,,,
3632,Monsieur Verdoux,Comedy&Drama,1947,Charles Chaplin,Wynn Pearce,Claimant[][,,,,,
3633,"On Her Majesty""s Secret Service",Action&Adventure&Romance,1969,Peter Hunt,George Lazenby,Diana Rigg,Telly Savalas,,,,
3634,Seven Days in May,Drama&Political Thriller,1964,John Frankenheimer,Kirk Douglas,Burt Lancaster,Fredric March[,,,,
3635,"Spy Who Loved Me, The",Action&Adventure&Romance,1977,Lewis Gilbert,Roger Moore,Barbara Carrera, Curt Jürgens[,,,,
3636,Those Who Love Me Can Take the Train,Drama&Romance,1998,Patrice Chéreau,Sandrine Bonnaire,Luis Guzmán,Isabelle Huppert[,,,,
3637,Vagabond (Sans toit ni loi),Drama&Thriller,1985,Agnes Varda,Sandrine Bonnaire, Jacques Dutronc,Dominique Sanda[,,,,
3638,Moonraker,Action&Adventure&Science Fiction,1979,Lewis Gilbert,Roger Moore,Lois Chiles,Michael Lonsdale[,,,,
3639,The Man with the Golden Gun,Action&Adventure&Thriller,1974,Guy Hamilton,Roger Moore,Christopher Lee,Britt Ekland[,,,,
3640,A King in New York,Drama&Comedy,1957,Charles Chaplin,Charles Chaplin,Claire Bloom,Noel Coward[,,,,
3641,"Woman of Paris, A",Drama&Romance,1923,Cecil B. DeMille,Gloria Swanson,Lawrence Grant,Madame Idzikowska[,,,,
3642,In Old California,Drama&Romance,1942,William C. deMille,Charles Bickford,John Howard,Betty Field[,,,,
3643,"Fighting Seabees, The",Action&Adventure&War,1944,Edward Ludwig,John Wayne,Laird Cregar,Gail Patrick,,,,
3644,Dark Command,Drama&Film-Noir,1940,Raoul Walsh,Glenn Ford,Mary Astor,Helen Thimig[,,,,
3645,Cleo From 5 to 7 (Cléo de 5 à 7),Drama&Musical&Romance,1962,Agnes Varda,Corinne Marchand,Daniele Girard,Berthe Larrivé[,,,,
3646,"Big Momma""s House",Comedy&Crime&Family,2000,Raja Gosnell,Martin Lawrence,Nia Long,Eddie Murphy,,,,
3647,Running Free,Adventure&Drama&Family,2000,Rick Kalvert,Kendra Wahlert,C. Thomas Howell,Stefanie Price,,,,
3648,The Abominable Snowman,Horror&Science Fiction&Adventure,1957,Val Guest,Peter Cushing,Forrest Tucker,Maureen O'Hara[,,,,
3649,American Gigolo,Drama&Thriller,1980,Paul Schrader,Richard Gere,Laura Roberts,Hector Elizondo,,,,
3650,Anguish (Angustia),Drama&Psychological&Thriller,1986,Bigas Luna,Héctor Alterio,Loles León,Mary Carrillo[,,,,
3651,The Blood Spattered Bride,Horror&Thriller,1972,Vicente Aranda,Jack Taylor,Leonor Watling,Ivan M. G. M. Rodriguez[,,,,
3652,City of the Living Dead (Paura nella città dei morti viventi),Horror&Thriller,1980,Luigi Cozzi,Catriona MacColl,Christopher George,Carlo De Mejo[,,,,
3653,The Endless Summer,Documentary&Adventure&Travel,1966,Bruce Brown, null,null,null,,,,
3654,The Guns of Navarone,Action&Adventure&War,1961,J. Lee Thompson,Gregory Peck,David Niven,Anthony Quinn,,,,
3655,Blow-Out (La Grande Bouffe),Drama&Romance,1973,Bernardo Bertolucci,Stewart Granger,Sophia Loren,Pierre Brasseur,,,,
3656,Lured,Drama&Mystery&Romance,1947,Douglas Sirk,Lucille Ball,Charles Coburn,George Macready[,,,,
3657,Pandora and the Flying Dutchman,Adventure&Drama&Fantasy,1951,Albert Lewin,Ava Gardner,James Mason,Sheila Manahan,,,,
3658,Quatermass and the Pit,Horror&Science Fiction&Thriller,1967,Roy Ward Baker,Andre Morell,Barry Naylor,Isla Blair[,,,,
3659,Quatermass II,Science Fiction,1957,Val Guest,Brian Donlevy,Jack Warner,Barry Jones[,,,,
3660,Puppet Master,Horror&Thriller,1989,David DeCoteau,Gregory Scott Cummins,Jamie Bernadette,Tamara Stafford[,,,,
3661,Puppet Master II,Horror&Thriller,1990,David DeCoteau,Gregory Scott Cummins,Jamie Bernadette,Tamara Stafford[,,,,
3662,"Puppet Master III: Toulon""s Revenge",Horror&Thriller,1991,David DeCoteau,Gregory Scott Cummins,Elaine Miles,Jamie Marsh[,,,,
3663,Puppet Master 4,Horror&Thriller,1993,John Carl Buechler,Amy Steel,Jason Scott Lee,Stephen Lee[,,,,
3664,Puppet Master 5: The Final Chapter,Horror&Science Fiction,1994,David DeCoteau,Gregory Scott Cummins,Ash Adams,Anita Eileen Taylor[,,,,
3665,Curse of the Puppet Master,Horror&Thriller,1998,David DeCoteau,Jamie Renée Smith,Jesse Hlubik,Michael Citriniti[,,,,
3666,Retro Puppetmaster,Horror&Science Fiction,1999,Barak Gorbis,Bruce Campbell,Kay Lenz,Pam Grier[,,,,
3667,Rent-A-Cop,Action&Comedy,1988,John Lemont,Bruce Campbell,Judy Davis,Ron Frazier[,,,,
3668,Romeo and Juliet,Drama&Romance,1968,Franco Zeffirelli,Leonard Whiting,Olivia Hussey,Michael York[,,,,
3669,Stay Tuned,Comedy&Family,1992,Jeffrey Price,John Ritter,Pam Dawber,Judge Reinhold[,,,,
3670,"Story of G.I. Joe, The",Action&Adventure&Drama,1945,Anthony Adverse,Burt Reynolds,Leslie Nielsen,Kirk Douglas[,,,,
3671,Blazing Saddles,Comedy&Western,1974,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens[,,,,
3672,Benji,Adventure&Family&Drama,1974,Joe Camp,Haley Joel Osment,Frances Lee McCain,"Benjean ""Benji"" Johnson[",,,,
3673,Benji the Hunted,Adventure&Family,1987,Burt Kennedy,Alex Karras,Tommy Kirk,Danny Bonaduce,,,,
3674,For the Love of Benji,Drama&Family,1977,Bert I. Gordon,Peter Breck,Nancy McKeon,Tommy Kramer[,,,,
3675,White Christmas,Musical&Romance&Comedy,1954,Mark Sandrich,Bing Crosby,Danny Kaye,Rosemary Clooney[,,,,
3676,Eraserhead,Drama&Horror&Mystery,1977,David Lynch,Jack Nance,Laura Dern,Isabella Rossellini[,,,,
3677,Baraka,Documentary,1992,Ron Fricke,null,null,null,,,,
3678,The Man with the Golden Arm,Drama&Film Noir,1955,Otto Preminger,Frank Sinatra,Kim Novak,Eleanor Parker[,,,,
3679,The Decline of Western Civilization,Documentary&Drama&Musical,1981,Penelope Spheeris,Steve Jones,Darby Crash,Black Flag[Inst],,,,
3680,"Decline of Western Civilization Part II: The Metal Years, The",Documentary&Music&Drama,1988,Penelope Spheeris, null, null, null[,,,,
3681,For a Few Dollars More,Action&Adventure&Western,1965,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volonté[,,,,
3682,Magnum Force,Action&Crime&Thriller,1973,Harry Falk,Clint Eastwood,Hal Holbrook,Timothy Brown[,,,,
3683,Blood Simple,Crime&Drama&Mystery,1984,Joel Coen,Ethan Coen,John Getz,Frances McDormand,,,,
3684,The Fabulous Baker Boys,Comedy&Drama&Musical,1989,Steven Kloves,Brooke Adams,Peter Coyote,David Rappaport,,,,
3685,Prizzi's Honor,Comedy&Crime&Drama,1985,John Huston,Jack Nicholson,Cher,Oscar Wilde[,,,,
3686,Flatliners,Horror&Medical&Mystery&Thriller,1990,Joel Schumacher,Kiefer Sutherland,Julia Roberts,Oliver Platt[,,,,
3687,Light Years,Adventure&Family&Science Fiction,1988,Leonard Maltin,Melissa Disney,Jason Connery,Diane Franklin[,,,,
3688,"Porky""s",Comedy&Teen,1981,Bob Clark,Tom Baker,Kim Cattrall,James Hampton[,,,,
3689,"Porky""s II: The Next Day",Comedy,1983,Bob Clark,Tony Montana,Wyatt Knight,Phoebe Cates[,,,,
3690,"Porky""s Revenge",Comedy,1985,Bob Clark,Tom Baker,Kim Cattrall,Dub Taylor[,,,,
3691,Private School,Comedy&Drama,1983,Noam Murro,Phoebe Cates,Betsy Russell,Judd Nelson[,,,,
3692,Class of Nuke 'Em High,Horror&Comedy,1986,Richard W. Haines,Gary Riley,Hilary Thomas,Tom Keane[,,,,
3693,The Toxic Avenger,Horror&Comedy&Sci-Fi,1985,Lloyd Kaufman,Andre Marques,Mitch Cullin,Cindy Lee Berryhill[,,,,
3694,"Toxic Avenger, Part II, The",Horror&Comedy,1989,Michael Herz,C Lloyd Rauf,Ronald L. Schwary,Mark Torgl}[,,,,
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The",Horror&Comedy&Science Fiction&Fantasy,1989,Joseph Zito,Ccampbell Scott,Andre Rose,Ron MacCossack[,,,,
3696,Night of the Creeps,Horror&Comedy&Science Fiction,1986,Fred Dekker,Dax Shepard,Jason Lively,Pete Antoni.[,,,,
3697,Predator 2,Action&Adventure&Horror&Science Fiction,1990,Stephen Hopkins,Danny Glover,Kevin Peter Hall,Adrienne Barbeau[,,,,
3698,The Running Man,Science Fiction&Action&Thriller,1987,Paul Michael Glaser,Arnold Schwarzenegger,Richard Dawson,Yaphet Kotto[,,,,
3699,Starman,Drama&Romance&Science Fiction,1984,Jeff Bridges,Karen Allen,Charles Martin Smith,Richard Jaeckel[,,,,
3700,The Brother from Another Planet,Science Fiction&Drama,1984,John Sayles,Joe Morton,David Strathairn,Rosanna Arquette[,,,,
3701,Alien Nation,Science Fiction&Action&Adventure,1988,Games Radakovich,James Caan,Mandy Patinkin,Terry O'Quinn,,,,
3702,Mad Max,Action&Adventure&Drama,1979,George Miller,Mel Gibson,Hugh Keays-Byrne,Jonathan Hardy[,,,,
3703,Mad Max 2 (a.k.a. The Road Warrior),Action&Adventure&Drama&Science Fiction,1981,George Miller,Mel Gibson,Bruce Spence,Gillian Hills[,,,,
3704,Mad Max Beyond Thunderdome,Action&Adventure&Drama,1985,George Miller,Mel Gibson,Bruce Spence,Linda Hamilton[,,,,
3705,Bird on a Wire,Action&Comedy&Romance,1990,John Badham,Mel Gibson,Goldie Hawn,Griffin Dunne,,,,
3706,Angel Heart,Horror&Drama&Mystery,1987,Robert Mulligan,Mickey Rourke,Jennifer Connelly,Anthony Hopkins[,,,,
3707,Nine 1/2 Weeks,Drama&Romance,1986,Adrian Lyne,Kim Basinger,Mickey Rourke,David Margulies,,,,
3708,Firestarter,Horror&Science Fiction,1984,Mark L. Lester,Drew Barrymore,David Keith,Martin Sheen[,,,,
3709,Sleepwalkers,Horror&Thriller,1992,Mick Garris,Alice Krige,Brian Krause,Madchen Amick[,,,,
3710,Action Jackson,Action&Adventure&Comedy,1988,Carl Weathers,Craig T. Nelson,Vanity,Sharon Stone[,,,,
3711,Sarafina!,Drama&Musical&Romance,1992,Darrell Roodt,Leleti Khumalo,Thandisizwe Mdbalozi,Miriam Makeba[,,,,
3712,Soapdish,Comedy&Drama&Romance,1991,Michael Hoffman,Sally Field,Kevin Kline,Whoopi Goldberg[,,,,
3713,The Long Walk Home,Drama&History,1990,Richard Pearce,Sidney Poitier,Kirstie Alley,Michael Caine[,,,,
3714,Clara's Heart,Drama&Family,1988,John Byrum,Whoopi Goldberg,Bonnie Bedelia,J.C. Mackenzie[,,,,
3715,Burglar,Comedy&Crime,1987,Stuart Gordon,Whoopi Goldberg,Bobcat Goldthwait,John Vernon[,,,,
3716,Fatal Beauty,Action&Comedy&Crime&Romance,1987,Mel Damski,Whoopi Goldberg,Bruce Willis,Perry King[,,,,
3717,Gone in 60 Seconds,Action&Crime&Thriiller,2000,Ronald Shusett,Nicolas Cage,Angelina Jolie,Robert Duvall[,,,,
3718,American Pimp,Drama&Crime,1999,Bill Gierhart,A.J. Johnson,Bokeem Woodbine,Ludacris[,,,,
3719,Love's Labour's Lost,Romance&Comedy,2000,Roland Emmerich,Fraser Jordan,Gabrielle Union,Ayelet Zurer[,,,,
3720,Sunshine,Adventure&Drama&Science Fiction,1999,Danny Boyle,Cillian Murphy,Chris Evans,Michelle Yeoh[,,,,
3721,Trixie,Comedy&Drama,1999,Alan Rudolph,Embeth Davidtz,Calista Flockhart,Alessandro Nivola[,,,,
3722,Live Virgin,Comedy&Romance,1999,Guy Bennett,Jennifer Love Hewitt,Milo Ventimiglia,Rachael Leigh Cook[,,,,
3723,Hamlet,Drama&History&Thriller,1990,Franco Zeffirelli,Mel Gibson,Glenn Close,Ian Holm[,,,,
